,Z_Rejon,POI,Do_Rejon,Czas_PrT_x,Czas_PuT_x,Czas_PrT_y,Czas_PuT_y
7171,11.0,13.0,20.0,83.01329784473224,91.00411258384771,84.13249140357074,86.37111258384772
7172,11.0,13.0,21.0,83.01329784473224,91.00411258384771,81.78143546228026,92.14011258384771
7173,11.0,13.0,22.0,83.01329784473224,91.00411258384771,79.70151144894761,87.8701125838477
7174,11.0,13.0,23.0,83.01329784473224,91.00411258384771,79.611857072319,87.32111258384771
7175,11.0,13.0,24.0,83.01329784473224,91.00411258384771,79.1331250700565,86.84411258384772
7176,12.0,13.0,1.0,82.674809637755,91.53311258384771,80.48905595580364,89.45711258384772
7177,12.0,13.0,2.0,82.674809637755,91.53311258384771,80.05546140426011,88.31511258384771
7178,12.0,13.0,3.0,82.674809637755,91.53311258384771,79.63230520365514,87.34111258384772
7179,12.0,13.0,4.0,82.674809637755,91.53311258384771,79.79717157895325,87.50511258384772
7180,12.0,13.0,5.0,82.674809637755,91.53311258384771,81.65554720728056,91.45411258384772
7181,12.0,13.0,6.0,82.674809637755,91.53311258384771,79.95825718437133,87.66911258384772
7182,12.0,13.0,7.0,82.674809637755,91.53311258384771,82.39488086026343,91.15611258384772
7183,12.0,13.0,8.0,82.674809637755,91.53311258384771,82.37483343189075,91.53411258384772
7184,12.0,13.0,9.0,82.674809637755,91.53311258384771,82.81282269623665,91.04811258384771
7185,12.0,13.0,10.0,82.674809637755,91.53311258384771,81.24666007511604,89.5561125838477
7186,12.0,13.0,11.0,82.674809637755,91.53311258384771,82.82015506269279,90.88011258384772
7187,12.0,13.0,12.0,82.674809637755,91.53311258384771,82.48166685571556,91.40911258384772
7188,12.0,13.0,13.0,82.674809637755,91.53311258384771,82.05604708619197,90.13611258384772
7189,12.0,13.0,14.0,82.674809637755,91.53311258384771,82.10372513551035,90.12511258384771
7190,12.0,13.0,15.0,82.674809637755,91.53311258384771,81.0848666621005,89.58611258384771
7191,12.0,13.0,16.0,82.674809637755,91.53311258384771,81.08667055182009,88.79511258384774
7192,12.0,13.0,17.0,82.674809637755,91.53311258384771,81.89244170960009,89.9251125838477
7193,12.0,13.0,18.0,82.674809637755,91.53311258384771,81.22296885151775,89.2361125838477
7194,12.0,13.0,19.0,82.674809637755,91.53311258384771,81.20582150379825,89.05411258384773
7195,12.0,13.0,20.0,82.674809637755,91.53311258384771,84.13249140357074,86.37111258384772
7196,12.0,13.0,21.0,82.674809637755,91.53311258384771,81.78143546228026,92.14011258384771
7197,12.0,13.0,22.0,82.674809637755,91.53311258384771,79.70151144894761,87.8701125838477
7198,12.0,13.0,23.0,82.674809637755,91.53311258384771,79.611857072319,87.32111258384771
7199,12.0,13.0,24.0,82.674809637755,91.53311258384771,79.1331250700565,86.84411258384772
7200,13.0,13.0,1.0,82.24918986823141,90.26011258384771,80.48905595580364,89.45711258384772
7201,13.0,13.0,2.0,82.24918986823141,90.26011258384771,80.05546140426011,88.31511258384771
7202,13.0,13.0,3.0,82.24918986823141,90.26011258384771,79.63230520365514,87.34111258384772
7203,13.0,13.0,4.0,82.24918986823141,90.26011258384771,79.79717157895325,87.50511258384772
7204,13.0,13.0,5.0,82.24918986823141,90.26011258384771,81.65554720728056,91.45411258384772
7205,13.0,13.0,6.0,82.24918986823141,90.26011258384771,79.95825718437133,87.66911258384772
7206,13.0,13.0,7.0,82.24918986823141,90.26011258384771,82.39488086026343,91.15611258384772
7207,13.0,13.0,8.0,82.24918986823141,90.26011258384771,82.37483343189075,91.53411258384772
7208,13.0,13.0,9.0,82.24918986823141,90.26011258384771,82.81282269623665,91.04811258384771
7209,13.0,13.0,10.0,82.24918986823141,90.26011258384771,81.24666007511604,89.5561125838477
7210,13.0,13.0,11.0,82.24918986823141,90.26011258384771,82.82015506269279,90.88011258384772
7211,13.0,13.0,12.0,82.24918986823141,90.26011258384771,82.48166685571556,91.40911258384772
7212,13.0,13.0,13.0,82.24918986823141,90.26011258384771,82.05604708619197,90.13611258384772
7213,13.0,13.0,14.0,82.24918986823141,90.26011258384771,82.10372513551035,90.12511258384771
7214,13.0,13.0,15.0,82.24918986823141,90.26011258384771,81.0848666621005,89.58611258384771
7215,13.0,13.0,16.0,82.24918986823141,90.26011258384771,81.08667055182009,88.79511258384774
7216,13.0,13.0,17.0,82.24918986823141,90.26011258384771,81.89244170960009,89.9251125838477
7217,13.0,13.0,18.0,82.24918986823141,90.26011258384771,81.22296885151775,89.2361125838477
7218,13.0,13.0,19.0,82.24918986823141,90.26011258384771,81.20582150379825,89.05411258384773
7219,13.0,13.0,20.0,82.24918986823141,90.26011258384771,84.13249140357074,86.37111258384772
7220,13.0,13.0,21.0,82.24918986823141,90.26011258384771,81.78143546228026,92.14011258384771
7221,13.0,13.0,22.0,82.24918986823141,90.26011258384771,79.70151144894761,87.8701125838477
7222,13.0,13.0,23.0,82.24918986823141,90.26011258384771,79.611857072319,87.32111258384771
7223,13.0,13.0,24.0,82.24918986823141,90.26011258384771,79.1331250700565,86.84411258384772
7224,14.0,13.0,1.0,82.08721083234772,89.9411125838477,80.48905595580364,89.45711258384772
7225,14.0,13.0,2.0,82.08721083234772,89.9411125838477,80.05546140426011,88.31511258384771
7226,14.0,13.0,3.0,82.08721083234772,89.9411125838477,79.63230520365514,87.34111258384772
7227,14.0,13.0,4.0,82.08721083234772,89.9411125838477,79.79717157895325,87.50511258384772
7228,14.0,13.0,5.0,82.08721083234772,89.9411125838477,81.65554720728056,91.45411258384772
7229,14.0,13.0,6.0,82.08721083234772,89.9411125838477,79.95825718437133,87.66911258384772
7230,14.0,13.0,7.0,82.08721083234772,89.9411125838477,82.39488086026343,91.15611258384772
7231,14.0,13.0,8.0,82.08721083234772,89.9411125838477,82.37483343189075,91.53411258384772
7232,14.0,13.0,9.0,82.08721083234772,89.9411125838477,82.81282269623665,91.04811258384771
7233,14.0,13.0,10.0,82.08721083234772,89.9411125838477,81.24666007511604,89.5561125838477
7234,14.0,13.0,11.0,82.08721083234772,89.9411125838477,82.82015506269279,90.88011258384772
7235,14.0,13.0,12.0,82.08721083234772,89.9411125838477,82.48166685571556,91.40911258384772
7236,14.0,13.0,13.0,82.08721083234772,89.9411125838477,82.05604708619197,90.13611258384772
7237,14.0,13.0,14.0,82.08721083234772,89.9411125838477,82.10372513551035,90.12511258384771
7238,14.0,13.0,15.0,82.08721083234772,89.9411125838477,81.0848666621005,89.58611258384771
7239,14.0,13.0,16.0,82.08721083234772,89.9411125838477,81.08667055182009,88.79511258384774
7240,14.0,13.0,17.0,82.08721083234772,89.9411125838477,81.89244170960009,89.9251125838477
7241,14.0,13.0,18.0,82.08721083234772,89.9411125838477,81.22296885151775,89.2361125838477
7242,14.0,13.0,19.0,82.08721083234772,89.9411125838477,81.20582150379825,89.05411258384773
7243,14.0,13.0,20.0,82.08721083234772,89.9411125838477,84.13249140357074,86.37111258384772
7244,14.0,13.0,21.0,82.08721083234772,89.9411125838477,81.78143546228026,92.14011258384771
7245,14.0,13.0,22.0,82.08721083234772,89.9411125838477,79.70151144894761,87.8701125838477
7246,14.0,13.0,23.0,82.08721083234772,89.9411125838477,79.611857072319,87.32111258384771
7247,14.0,13.0,24.0,82.08721083234772,89.9411125838477,79.1331250700565,86.84411258384772
7248,15.0,13.0,1.0,81.0848666621005,90.44011258384771,80.48905595580364,89.45711258384772
7249,15.0,13.0,2.0,81.0848666621005,90.44011258384771,80.05546140426011,88.31511258384771
7250,15.0,13.0,3.0,81.0848666621005,90.44011258384771,79.63230520365514,87.34111258384772
7251,15.0,13.0,4.0,81.0848666621005,90.44011258384771,79.79717157895325,87.50511258384772
7252,15.0,13.0,5.0,81.0848666621005,90.44011258384771,81.65554720728056,91.45411258384772
7253,15.0,13.0,6.0,81.0848666621005,90.44011258384771,79.95825718437133,87.66911258384772
7254,15.0,13.0,7.0,81.0848666621005,90.44011258384771,82.39488086026343,91.15611258384772
7255,15.0,13.0,8.0,81.0848666621005,90.44011258384771,82.37483343189075,91.53411258384772
7256,15.0,13.0,9.0,81.0848666621005,90.44011258384771,82.81282269623665,91.04811258384771
7257,15.0,13.0,10.0,81.0848666621005,90.44011258384771,81.24666007511604,89.5561125838477
7258,15.0,13.0,11.0,81.0848666621005,90.44011258384771,82.82015506269279,90.88011258384772
7259,15.0,13.0,12.0,81.0848666621005,90.44011258384771,82.48166685571556,91.40911258384772
7260,15.0,13.0,13.0,81.0848666621005,90.44011258384771,82.05604708619197,90.13611258384772
7261,15.0,13.0,14.0,81.0848666621005,90.44011258384771,82.10372513551035,90.12511258384771
7262,15.0,13.0,15.0,81.0848666621005,90.44011258384771,81.0848666621005,89.58611258384771
7263,15.0,13.0,16.0,81.0848666621005,90.44011258384771,81.08667055182009,88.79511258384774
7264,15.0,13.0,17.0,81.0848666621005,90.44011258384771,81.89244170960009,89.9251125838477
7265,15.0,13.0,18.0,81.0848666621005,90.44011258384771,81.22296885151775,89.2361125838477
7266,15.0,13.0,19.0,81.0848666621005,90.44011258384771,81.20582150379825,89.05411258384773
7267,15.0,13.0,20.0,81.0848666621005,90.44011258384771,84.13249140357074,86.37111258384772
7268,15.0,13.0,21.0,81.0848666621005,90.44011258384771,81.78143546228026,92.14011258384771
7269,15.0,13.0,22.0,81.0848666621005,90.44011258384771,79.70151144894761,87.8701125838477
7270,15.0,13.0,23.0,81.0848666621005,90.44011258384771,79.611857072319,87.32111258384771
7271,15.0,13.0,24.0,81.0848666621005,90.44011258384771,79.1331250700565,86.84411258384772
7272,16.0,13.0,1.0,81.08667055182009,88.79311258384772,80.48905595580364,89.45711258384772
7273,16.0,13.0,2.0,81.08667055182009,88.79311258384772,80.05546140426011,88.31511258384771
