,Z_Rejon,Do_Rejon,L_Podrozy,Przez_POI,Czas_PrT,Czas_PuT
7145,10.0,18.0,5.962630529892161,9.0,128.0162832928291,531.2835968594247
7146,10.0,18.0,5.962630529892161,10.0,130.49364295456996,891.5146199508931
7147,10.0,18.0,5.962630529892161,11.0,186.59574354793327,555.3885170196713
7148,10.0,18.0,5.962630529892161,12.0,159.8390739868466,499.4341460959777
7149,10.0,18.0,5.962630529892161,13.0,162.6627717086732,178.86322516769545
7150,10.0,18.0,5.962630529892161,14.0,263.9135718311299,596.9094493363781
7151,10.0,18.0,5.962630529892161,15.0,171.12445685683787,555.4296814897662
7152,10.0,18.0,5.962630529892161,16.0,455.84026531197475,580.177565331253
7153,10.0,18.0,5.962630529892161,17.0,119.34431387450826,392.359209468232
7154,10.0,18.0,5.962630529892161,18.0,143.30573803171208,639.822387594963
7155,10.0,18.0,5.962630529892161,19.0,134.18444104242596,341.6773128370839
7156,10.0,18.0,5.962630529892161,20.0,171.48736049879608,1199.2870182921995
7157,10.0,18.0,5.962630529892161,21.0,228.72960250353054,675.6059732497282
7158,10.0,18.0,5.962630529892161,22.0,189.44528620925678,600.9466646563337
7159,10.0,18.0,5.962630529892161,23.0,232.09786377226138,1048.8972531736017
7160,10.0,18.0,5.962630529892161,24.0,349.56487321625457,1201.8976661318454
7161,10.0,18.0,5.962630529892161,25.0,207.50520135162978,1453.2901825867996
7162,10.0,18.0,5.962630529892161,26.0,175.82640207739885,970.1878897628276
7163,10.0,18.0,5.962630529892161,27.0,105.02732603526982,700.5254276761325
7164,10.0,18.0,5.962630529892161,28.0,247.44545777240353,405.20611580093725
7165,10.0,18.0,5.962630529892161,29.0,154.5925545008018,999999.0
7166,10.0,18.0,5.962630529892161,30.0,217.0731068936094,577.3712777951577
7167,10.0,18.0,5.962630529892161,31.0,160.37141224836327,831.964530581088
7168,10.0,18.0,5.962630529892161,32.0,320.9939766275732,545.1934618464719
7169,10.0,19.0,2.2062269991945427,1.0,387.1581323373229,875.7832620998352
7170,10.0,19.0,2.2062269991945427,2.0,144.62062205756388,859.2116568986214
7171,10.0,19.0,2.2062269991945427,3.0,487.22656041092426,893.643911964763
7172,10.0,19.0,2.2062269991945427,4.0,337.4891090710802,1058.6052909642976
7173,10.0,19.0,2.2062269991945427,5.0,255.33253158568732,806.8840158203346
7174,10.0,19.0,2.2062269991945427,6.0,781.2771461922265,1963.3534668059538
7175,10.0,19.0,2.2062269991945427,7.0,830.6525083206869,999999.0
7176,10.0,19.0,2.2062269991945427,8.0,254.88378459240582,906.0422152625229
7177,10.0,19.0,2.2062269991945427,9.0,127.83653592861639,533.8085968594247
7178,10.0,19.0,2.2062269991945427,10.0,130.31389559035728,894.0396199508931
7179,10.0,19.0,2.2062269991945427,11.0,186.41599618372058,554.3975170196713
7180,10.0,19.0,2.2062269991945427,12.0,159.64465689760254,498.44314609597774
7181,10.0,19.0,2.2062269991945427,13.0,162.64562436095372,178.68122516769543
7182,10.0,19.0,2.2062269991945427,14.0,264.40330571259733,597.344449336378
7183,10.0,19.0,2.2062269991945427,15.0,171.3282358110606,554.4386814897662
7184,10.0,19.0,2.2062269991945427,16.0,455.1083919806353,580.052565331253
7185,10.0,19.0,2.2062269991945427,17.0,119.33758958457175,392.17720946823204
7186,10.0,19.0,2.2062269991945427,18.0,144.6726652593588,641.514387594963
7187,10.0,19.0,2.2062269991945427,19.0,136.00278205645208,343.36931283708384
7188,10.0,19.0,2.2062269991945427,20.0,173.5218682329312,1201.6390182921994
7189,10.0,19.0,2.2062269991945427,21.0,227.9977291721911,672.6279732497281
7190,10.0,19.0,2.2062269991945427,22.0,188.71341287791734,597.6786646563338
7191,10.0,19.0,2.2062269991945427,23.0,234.72682424434274,1050.6662531736017
7192,10.0,19.0,2.2062269991945427,24.0,352.6665665715177,1205.4216661318453
7193,10.0,19.0,2.2062269991945427,25.0,210.581687139289,1458.3131825867995
7194,10.0,19.0,2.2062269991945427,26.0,178.90601105087615,973.3888897628276
7195,10.0,19.0,2.2062269991945427,27.0,108.1069350087471,703.7264276761325
7196,10.0,19.0,2.2062269991945427,28.0,250.4123024720255,408.4071158009373
7197,10.0,19.0,2.2062269991945427,29.0,156.44111928501331,999999.0
7198,10.0,19.0,2.2062269991945427,30.0,215.0135737435999,574.0102777951577
7199,10.0,19.0,2.2062269991945427,31.0,158.34434729761958,829.8355305810879
7200,10.0,19.0,2.2062269991945427,32.0,319.7619555063782,543.0644618464719
7201,10.0,20.0,4.048301719898404,1.0,389.2888671752889,872.2082620998351
7202,10.0,20.0,4.048301719898404,2.0,146.20555462061523,855.0146568986214
7203,10.0,20.0,4.048301719898404,3.0,490.7489851656298,892.846911964763
7204,10.0,20.0,4.048301719898404,4.0,337.3172700295334,1053.2742909642975
7205,10.0,20.0,4.048301719898404,5.0,257.8015126653391,802.4450158203347
7206,10.0,20.0,4.048301719898404,6.0,783.4078810301925,1957.1674668059538
7207,10.0,20.0,4.048301719898404,7.0,830.4806692791401,999999.0
7208,10.0,20.0,4.048301719898404,8.0,255.8805065430657,902.3432152625228
7209,10.0,20.0,4.048301719898404,9.0,130.11346795920306,528.2415968594247
7210,10.0,20.0,4.048301719898404,10.0,132.8167083595146,888.4726199508931
7211,10.0,20.0,4.048301719898404,11.0,188.2832524917896,550.3615170196714
7212,10.0,20.0,4.048301719898404,12.0,162.16213939179124,494.40714609597774
7213,10.0,20.0,4.048301719898404,13.0,165.57229426072618,175.99822516769544
7214,10.0,20.0,4.048301719898404,14.0,266.3196825751538,594.2324493363781
7215,10.0,20.0,4.048301719898404,15.0,171.89185235752345,550.4026814897662
7216,10.0,20.0,4.048301719898404,16.0,456.22678676154817,572.722565331253
7217,10.0,20.0,4.048301719898404,17.0,122.54432513588148,389.49420946823204
7218,10.0,20.0,4.048301719898404,18.0,147.02515773799428,637.317387594963
7219,10.0,20.0,4.048301719898404,19.0,137.43000801311334,339.1723128370839
7220,10.0,20.0,4.048301719898404,20.0,173.43926451081842,1197.1120182921993
7221,10.0,20.0,4.048301719898404,21.0,229.40060453467993,667.8229732497282
7222,10.0,20.0,4.048301719898404,22.0,189.7024307849714,592.3476646563338
7223,10.0,20.0,4.048301719898404,23.0,237.72269622636352,1047.0712531736017
7224,10.0,20.0,4.048301719898404,24.0,356.74002526618204,1200.9826661318455
7225,10.0,20.0,4.048301719898404,25.0,213.5386062581739,1450.4081825867995
7226,10.0,20.0,4.048301719898404,26.0,180.81815829042736,967.8688897628275
7227,10.0,20.0,4.048301719898404,27.0,110.01908224829835,698.2064276761324
7228,10.0,20.0,4.048301719898404,28.0,252.02520190596567,402.8871158009373
7229,10.0,20.0,4.048301719898404,29.0,161.61362403875864,999999.0
7230,10.0,20.0,4.048301719898404,30.0,220.81362081298016,572.9162777951577
7231,10.0,20.0,4.048301719898404,31.0,163.41549962687998,828.1255305810879
7232,10.0,20.0,4.048301719898404,32.0,323.96588781923987,541.3544618464718
7233,10.0,21.0,13.614923648264417,1.0,385.7651396728853,874.8822620998351
7234,10.0,21.0,13.614923648264417,2.0,143.85449867932476,862.0236568986214
