,Z_Rejon,POI,Czas_PrT,Czas_PuT
514,17.0,2.0,243.05655800218537,1771.3588284493107
515,17.0,3.0,528.1624817724348,2736.0129559823813
516,17.0,4.0,439.7062897645435,2714.423645482149
517,17.0,5.0,350.1510430652803,1878.2775079101673
518,17.0,6.0,703.3507246026054,2979.982733402977
519,17.0,7.0,633.660687576187,999999.0
520,17.0,8.0,303.13672479466595,2159.2811076312614
521,17.0,9.0,320.5037672229407,1873.8007984297124
522,17.0,10.0,327.00718903549955,2053.9163099754464
523,17.0,11.0,339.03058604994555,1810.2027585098358
524,17.0,12.0,361.43512445518036,1782.2255730479887
525,17.0,13.0,321.675986227143,1909.3711125838477
526,17.0,14.0,311.7527025595208,1854.703224668189
527,17.0,15.0,268.1092073828305,1810.223340744883
528,17.0,16.0,421.4383330093523,2000.7592826656264
529,17.0,17.0,326.9561103809109,2016.119104734116
530,17.0,18.0,251.6686206483892,1662.5101937974814
531,17.0,19.0,169.472982133869,1513.437656418542
532,17.0,20.0,111.81121746998349,1894.2415091460998
533,17.0,21.0,449.7044110784196,2137.0009866248643
534,17.0,22.0,444.8086434870912,2483.9603323281667
535,17.0,23.0,371.0693378262656,2249.5731265868008
536,17.0,24.0,428.11962557219107,2077.5463330659227
537,17.0,25.0,368.64980902384843,2637.2750912934
538,17.0,26.0,328.96026251618866,2315.2869448814135
539,17.0,27.0,280.5105187832182,2180.455713838066
540,17.0,28.0,310.5466404881003,2032.7960579004687
541,17.0,29.0,459.56791718500256,999999.0
542,17.0,30.0,466.93218223532824,2533.197138897579
543,17.0,31.0,439.6210567633299,3110.109765290544
544,17.0,32.0,420.9252147169077,2966.724230923236
545,18.0,1.0,481.2484690787474,2381.8086310499175
546,18.0,2.0,277.13526519529637,1663.3588284493107
547,18.0,3.0,348.5567926239779,2460.0129559823813
548,18.0,4.0,560.6762817543048,2723.423645482149
549,18.0,5.0,218.07407904079287,1222.2775079101673
550,18.0,6.0,716.4325156236209,3767.982733402977
551,18.0,7.0,754.6306795659482,999999.0
552,18.0,8.0,334.70702894679494,2136.2811076312614
553,18.0,9.0,282.7583289353407,1850.8007984297124
